case,method,resolution,x1,raw_value,plotted_value,analytic_value
hydro_viscosity,sts,256,-2.16796875,1.0242602262307102e-07,1.0242602262307102e-07,1.0242065787065261e-07
hydro_viscosity,sts,256,-2.12890625,1.0338548806995425e-07,1.0338548806995425e-07,1.0338017833557725e-07
hydro_viscosity,sts,256,-2.08984375,1.0433625504892398e-07,1.0433625504892398e-07,1.04330998001885e-07
hydro_viscosity,sts,256,-2.05078125,1.052779196432937e-07,1.052779196432937e-07,1.0527271298250854e-07
hydro_viscosity,sts,256,-2.01171875,1.0621007890491279e-07,1.0621007890491279e-07,1.0620492036190116e-07
hydro_viscosity,sts,256,-1.97265625,1.0713233113751688e-07,1.0713233113751688e-07,1.0712721847924621e-07
hydro_viscosity,sts,256,-1.93359375,1.0804427618154132e-07,1.0804427618154132e-07,1.080392072131307e-07
hydro_viscosity,sts,256,-1.89453125,1.0894551570011927e-07,1.0894551570011927e-07,1.0894048826740415e-07
hydro_viscosity,sts,256,-1.85546875,1.0983565346598562e-07,1.0983565346598562e-07,1.0983066545794204e-07
hydro_viscosity,sts,256,-1.81640625,1.1071429564900356e-07,1.1071429564900356e-07,1.1070934500002794e-07
hydro_viscosity,sts,256,-1.77734375,1.1158105110402495e-07,1.1158105110402495e-07,1.1157613579606621e-07
hydro_viscosity,sts,256,-1.73828125,1.1243553165879077e-07,1.1243553165879077e-07,1.1243064972333446e-07
hydro_viscosity,sts,256,-1.69921875,1.1327735240157923e-07,1.1327735240157923e-07,1.1327250192148155e-07
hydro_viscosity,sts,256,-1.66015625,1.1410613196830479e-07,1.1410613196830479e-07,1.1410131107947628e-07
hydro_viscosity,sts,256,-1.62109375,1.1492149282877093e-07,1.1492149282877093e-07,1.1491669972170934e-07
hydro_viscosity,sts,256,-1.58203125,1.1572306157177886e-07,1.1572306157177886e-07,1.1571829449294988e-07
hydro_viscosity,sts,256,-1.54296875,1.1651046918879297e-07,1.1651046918879297e-07,1.1650572644185796e-07
hydro_viscosity,sts,256,-1.50390625,1.1728335135586092e-07,1.1728335135586092e-07,1.1727863130275256e-07
hydro_viscosity,sts,256,-1.46484375,1.1804134871349162e-07,1.1804134871349162e-07,1.1803664977533597e-07
hydro_viscosity,sts,256,-1.42578125,1.1878410714418766e-07,1.1878410714418766e-07,1.1877942780207488e-07
hydro_viscosity,sts,256,-1.38671875,1.1951127804733696e-07,1.1951127804733696e-07,1.1950661684293952e-07
hydro_viscosity,sts,256,-1.34765625,1.2022251861116384e-07,1.2022251861116384e-07,1.2021787414720384e-07
hydro_viscosity,sts,256,-1.30859375,1.2091749208144453e-07,1.2091749208144453e-07,1.2091286302201028e-07
hydro_viscosity,sts,256,-1.26953125,1.215958680266915e-07,1.215958680266915e-07,1.2159125309740615e-07
hydro_viscosity,sts,256,-1.23046875,1.2225732259951823e-07,1.2225732259951823e-07,1.2225272058755948e-07
hydro_viscosity,sts,256,-1.19140625,1.2290153879389173e-07,1.2290153879389173e-07,1.2289694854786633e-07
hydro_viscosity,sts,256,-1.15234375,1.235282066979902e-07,1.235282066979902e-07,1.2352362712766405e-07
hydro_viscosity,sts,256,-1.11328125,1.24137023742383e-07,1.24137023742383e-07,1.2413245381826908e-07
hydro_viscosity,sts,256,-1.07421875,1.2472769494325457e-07,1.2472769494325457e-07,1.2472313369606135e-07
hydro_viscosity,sts,256,-1.03515625,1.2529993314040123e-07,1.2529993314040123e-07,1.252953796603425e-07
hydro_viscosity,sts,256,-0.99609375,1.258534592297283e-07,1.258534592297283e-07,1.258489126656996e-07
hydro_viscosity,sts,256,-0.95703125,1.2638800238998822e-07,1.2638800238998822e-07,1.2638346194861118e-07
hydro_viscosity,sts,256,-0.91796875,1.2690330030350134e-07,1.2690330030350134e-07,1.2689876524803814e-07
hydro_viscosity,sts,256,-0.87890625,1.273990993706045e-07,1.273990993706045e-07,1.273945690197484e-07
hydro_viscosity,sts,256,-0.83984375,1.2787515491758764e-07,1.2787515491758764e-07,1.2787062864413017e-07
hydro_viscosity,sts,256,-0.80078125,1.2833123139787457e-07,1.2833123139787457e-07,1.2832670862725482e-07
hydro_viscosity,sts,256,-0.76171875,1.2876710258622065e-07,1.2876710258622065e-07,1.2876258279495942e-07
hydro_viscosity,sts,256,-0.72265625,1.291825517656986e-07,1.291825517656986e-07,1.291780344797236e-07
hydro_viscosity,sts,256,-0.68359375,1.295773719072647e-07,1.295773719072647e-07,1.2957285670012601e-07
hydro_viscosity,sts,256,-0.64453125,1.2995136584168446e-07,1.2995136584168446e-07,1.2994685233267114e-07
hydro_viscosity,sts,256,-0.60546875,1.3030434642363091e-07,1.3030434642363091e-07,1.3029983427578776e-07
hydro_viscosity,sts,256,-0.56640625,1.3063613668775586e-07,1.3063613668775586e-07,1.306316256058075e-07
hydro_viscosity,sts,256,-0.52734375,1.3094656999655482e-07,1.3094656999655482e-07,1.309420597247419e-07
hydro_viscosity,sts,256,-0.48828125,1.312354901798536e-07,1.312354901798536e-07,1.3123098049968453e-07
